"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Состав;Weight;Length;Width;Height;"SEO title";"SEO descr";"FB title";"FB descr"
665926763451;;;;;"Артикул 129";"Размеры 42-52";;https://static.tildacdn.com/tild3663-6336-4563-a366-613131346266/129--.jpg;;;;;;lxvBOYyeUHTaddHGOVMO;;;0;0;0;0;;;;
873398916121;;129;;;"Артикул 129 / Оливка- Оливка";;;https://static.tildacdn.com/tild3663-6336-4563-a366-613131346266/129--.jpg;22.0000;12;;Цвет:Оливка;;oVmbARDBpepoD9E9l5vs;665926763451;;0;0;0;0;;;;
183234640481;;;;;"Артикул 129";"Размеры 42-52";;https://static.tildacdn.com/tild6461-3863-4564-b262-303663323232/129--.jpg;;;;;;9L2otR9mGb0xdCx6GNZj;;;0;0;0;0;;;;
556968701851;;129;;;"Артикул 129 / Пудра- Пудра";;;https://static.tildacdn.com/tild6461-3863-4564-b262-303663323232/129--.jpg;22.0000;12;;Цвет:Пудра;;NAPMTxcpJRDSz7SOuA61;183234640481;;0;0;0;0;;;;
168569221261;;;;;"Артикул 1910";"Размеры 48-56";;https://static.tildacdn.com/tild3239-3333-4166-a563-353565333239/1910_-_.jpg;;;;;;cjoo0YUZpfccrBF1KFYn;;;0;0;0;0;;;;
730946607641;;1910;;;"Артикул 1910 / Морской- Морской";;;https://static.tildacdn.com/tild3239-3333-4166-a563-353565333239/1910_-_.jpg;23.0000;25;;Цвет:Морской;;CkxSHZDZ3GDZZ6YhjjNz;168569221261;;0;0;0;0;;;;
149695319311;;;;;"Артикул 127";"Размеры 42-48";;https://static.tildacdn.com/tild3233-3738-4366-b965-303563653663/127_1.jpg;;;;;;uRPKSZazuVKdGgBVJ6j6;;;0;0;0;0;;;;
965481920161;;127;;;"Артикул 127 / Чёрный- Чёрный";;;https://static.tildacdn.com/tild3233-3738-4366-b965-303563653663/127_1.jpg;21.0000;3;;Цвет:Чёрный;;ECylp3yY3hCAHTMVuPz6;149695319311;;0;0;0;0;;;;
310059611071;;;;;"Юбка 5/520";"Размеры 46-54";Эко-кожа;https://static.tildacdn.com/tild3365-6130-4534-a463-386133333165/5520_0.jpg;;;;;;VyHps74VJbDlIsrV3Mvt;;;0;0;0;0;;;;
429392388281;;5/520;;;"Юбка 5/520 / Бордо- Бордо";;;https://static.tildacdn.com/tild3365-6130-4534-a463-386133333165/5520_0.jpg;13.0000;5;;Цвет:Бордо;;zfl0OSd8lIpuGOulLoAv;310059611071;;0;0;0;0;;;;
